id,hed,url,text1,url1,icon1,text2,url2,icon2,text3,url3,icon3
redraft-2,The NBA Redrafted 2.0,https://pudding.cool/2022/02/redraft/,NBA Redrafted 1.0 (2017),https://pudding.cool/2017/03/redraft/,link,,,,,,
plain,What Makes Writing More Readable?,https://pudding.cool/2022/02/plain/,,,,,,,,,
propublica-scholarship,ProPublica Scholarship,https://www.propublica.org/article/students-propublica-and-the-pudding-want-to-send-you-to-a-conference-in-2022,,,,,,,,,
pudding-cup-2021,The Pudding Cup 2021 winners!,https://pudding.cool/process/pudding-cup-2021/,,,,,,,,,
women-in-headlines,When Women Make Headlines,https://pudding.cool/2022/02/women-in-headlines,,,,,,,,,
new-yorker-2,Using a Computer Win the New Yorker Cartoon Caption Contest,https://pudding.cool/projects/caption-contest/,,,,,,,,,
story-form,Have a story idea you think The Pudding should do? Share your idea here!,https://forms.gle/EJYE5N7bnF1DMWJa6,,,,,,,,,
deepwork,You’re only human. Don’t let that stop you from advancing your career.,https://pudding.cool/2022/01/deepwork/,,,,,,,,,
sesame,The Hidden Risks of Sesame Allergies,https://pudding.cool/2021/12/sesame/,,,,,,,,,
travel-local,A Data-driven Trip Through the USA,https://pudding.cool/2020/05/travel-local/,,,,,,,,,
lenna,Can Data Die? Tracking the Lenna Image,https://pudding.cool/2021/10/lenna/,Get the data,https://github.com/the-pudding/lenna-data,link,,,,,,
spades,How you play Spades is how you play life,https://pudding.cool/2021/08/spades/,Want a printed deck?,https://docs.google.com/forms/d/e/1FAIpQLSdUoOOrIJz_IWrBfR3HEDO2EttUZ6vZWu-1WNjTg4M7ybJUlg/viewform,link,,,,,,
same-gender-lyrics,“I Kissed A Girl” to “Call Me By Your Name”,https://pudding.cool/2021/06/same-gender-lyrics/,Spotify playlist,https://open.spotify.com/playlist/3g0RrpYM6zZ7d4nfP3XeEh?si=ea100ec620f247a4,headphones,,,,,,
new-yorker,Help a Computer Win the New Yorker Cartoon Caption Contest,https://pudding.cool/projects/caption-contest/,,,,,,,,,
solo,How many artists overshadow their band after going solo?,https://pudding.cool/2021/04/solo,,,,,,,,,
managing-director,We're hiring a Managing Director - Editorial,https://pudding.cool/career/managing-director/,About Us,https://pudding.cool/about/,link,FAQ,https://pudding.cool/faq/,link,,,
music-bubble,Get out of your geographic music bubble,https://pudding.cool/2021/04/music-bubble/,The Cultural Borders of Songs,https://pudding.cool/2018/06/music-map/,link,,,,,,
covid-science,How Science Came Together During COVID-19,https://pudding.cool/2021/03/covid-science/,,,,,,,,,
foundations,The Naked Truth,https://pudding.cool/2021/03/foundation-names/,Cocoa Swatches,https://www.cocoaswatches.com/,link,,,,,,
spades-survey,Survey on Spades in the Black Community,https://thepudding.typeform.com/to/BFKFcPu3,,,,,,,,,
wine-model,Wine & Math: A Model Pairing,https://pudding.cool/2021/03/wine-model/,Behind the piece,https://www.datamake.io/project/wine-model,link,,,,,,
love-and-ai,Nothing Breaks Like A.I. Heart,https://pudding.cool/2021/03/love-and-ai/,OpenAI,https://openai.com/,link,,,,,,
jukebox,Introducing the Live Music Jukebox,https://pudding.cool/2021/02/jukebox/,,,,,,,,,
scholarship,Student Journalism Scholarships,https://www.propublica.org/article/students-propublica-and-the-pudding-want-to-help-pay-for-your-journalism-expenses-in-2021?utm_medium=social&utm_source=twitter#1046944,ProPublica,https://www.propublica.org/,users,,,,,,
speaker-rider,We created a speaker rider. Journalism didn’t have one.,https://opennews.org/projects/speaker-rider/,Read more about the rider,https://pudding.cool/process/speaker-rider/,link,,,,,,
cool,Every time someone says cool in Community,https://pudding.cool/2021/01/cool/,Watch the supercut,https://www.youtube.com/watch?v=EFXRGqJUdjQ,video,,,,,,
oreo,Oreos and the Art of Crossword Puzzle Construction,https://pudding.cool/2021/01/oreo/,Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,link,Playable puzzles,https://pudding.cool/2020/11/crossword-puzzles/,link,,,
light-cost,The Historical Cost of Light,https://pudding.cool/2020/12/lighting-cost/,Read the paper,https://www.nber.org/system/files/chapters/c6064/c6064.pdf,bar-chart,,,,,,
bad-spotify,How Bad is Your Spotify?,https://pudding.cool/2020/12/judge-my-spotify/,,,,,,,,,
pudding-cup-2020,The Pudding Cup 2020,https://pudding.cool/process/pudding-cup-2020/,2019 winners,https://pudding.cool/process/pudding-cup-2019/,link,2018 winners,https://pudding.cool/process/pudding-awards-2018/,link,2017 winners,https://pudding.cool/process/pudding-awards-2017/,link
crossword,Who’s in the Crossword?,https://pudding.cool/2020/11/crossword/,Playable puzzles,https://pudding.cool/2020/11/crossword-puzzles/,link,Svelte component,https://github.com/russellgoldenberg/svelte-crossword#svelte-crossword,link,,,
whole-foods,Whole Foods,https://www.notion.so/thepudding/Whole-Foods-Data-FAQ-3b69e387e78c41e4af27b16c6d3e9459,15 Percent Pledge,https://www.15percentpledge.org/,users,Get the data,https://www.notion.so/thepudding/Whole-Foods-Data-FAQ-3b69e387e78c41e4af27b16c6d3e9459,bar-chart,,,
k-pop,Why are K-pop groups so big?,https://pudding.cool/2020/10/kpop/,Kontinentalist,https://kontinentalist.com/,users,,,,,,
dance-floor,A Data-Led Theory to Generationally Divide Dance Floors,https://pudding.cool/2020/09/wedding-playlists/,Take the music quiz,https://pudding.cool/2020/04/music-challenge/,link,90's canon,https://pudding.cool/2020/07/song-decay/,link,,,
middle-class,"How rigid is the middle class in the US, really?",https://pudding.cool/2020/08/income/,,,,,,,,,
music-quiz-2,Identifying Generational Gaps in Music,https://pudding.cool/2020/04/music-challenge/,90's canon,https://pudding.cool/2020/07/song-decay/,link,Generational dance floor,https://pudding.cool/2020/09/wedding-playlists/,link,,,
campaign-colors,How candidate diversity impacts color diversity,https://pudding.cool/2020/08/campaign-colors/,Get the data,https://github.com/the-pudding/data/tree/master/campaign-colors,bar-chart,,,,,,
winning-internet,Winning the Internet,https://pudding.cool/projects/newsletter/,Subscribe,https://tinyletter.com/codenberg/subscribe/validate,mail,Get the data,https://github.com/the-pudding/data/tree/master/winning-the-internet,bar-chart,,,
90s-canon-2,Defining the ’90s Music Canon,https://pudding.cool/2020/07/song-decay/,Take the music quiz,https://pudding.cool/2020/04/music-challenge/,link,Generational dance floor,https://pudding.cool/2020/09/wedding-playlists/,link,,,
90s-canon-1,Defining the ’90s Music Canon,https://pudding.cool/2020/07/song-decay/,Take the music quiz,https://pudding.cool/2020/04/music-challenge/,link,Generational dance floor,https://pudding.cool/2020/09/wedding-playlists/,link,,,
gendered-descriptions-3,The Physical Traits that Define Men and Women in Literature,https://pudding.cool/2020/07/gendered-descriptions/,Behind the pitch,https://pudding.cool/process/pitching-gendered-descriptions/,link,,,,,,
gendered-descriptions-2,The Physical Traits that Define Men and Women in Literature,https://pudding.cool/2020/07/gendered-descriptions/,Behind the pitch,https://pudding.cool/process/pitching-gendered-descriptions/,link,,,,,,
gendered-descriptions-1,The Physical Traits that Define Men and Women in Literature,https://pudding.cool/2020/07/gendered-descriptions/,Behind the pitch,https://pudding.cool/process/pitching-gendered-descriptions/,link,,,,,,
flooding,Flooding in America,https://pudding.cool/projects/flooding/visuals/,,,,,,,,,
karen,You Know Karen,https://pudding.cool/2020/06/karen/,Get the data,https://github.com/the-pudding/karen-data,bar-chart,,,,,,
masked-wrestlers,An Illustrated Guide to Masked Wrestlers,https://pudding.cool/2020/05/wrestling/,Watch the video,https://www.youtube.com/watch?v=J1KZWyXqQUw,video,,,,,,
music-quiz-1,Identifying Generational Gaps in Music,https://pudding.cool/2020/04/music-challenge/,90's canon,https://pudding.cool/2020/07/song-decay/,link,Generational dance floors,https://pudding.cool/2020/09/wedding-playlists/,link,,,
infinite-monkey,The Infinite Monkey Theorem Experiment,https://pudding.cool/2020/04/infinite/,,,,,,,,,
kidz-bop,Just How Does Kidz Bop Censor Songs?,https://pudding.cool/2020/04/kidz-bop/,Get the data,https://github.com/the-pudding/data/tree/master/kidz-bop,bar-chart,,,,,,
census,The Evolution of the American Census,https://pudding.cool/2020/03/census-history/,Get the data,https://github.com/the-pudding/data/tree/master/census-history,bar-chart,,,,,,
lgbt-video-games,The Pudding Etc.,,LGBTQ Video Game Archive,https://lgbtqgamearchive.com/,users,,,,,,
gifs,The Emotional GIF Range of Celebs,https://pudding.cool/2020/03/gifs/,,,,,,,,,
rain,Where will you need your umbrella?,https://pudding.cool/2020/02/rain/,Get the data,https://github.com/the-pudding/data/tree/master/rain,bar-chart,,,,,,
author-locations,Do Authors Write Where They Know?,https://pudding.cool/2020/02/authors/,,,,,,,,,
diaspora,Where International Communities Cluster,https://pudding.cool/2020/01/diaspora/,,,,,,,,,
youtube-apology,The Aftermath of a YouTube Apology,https://pudding.cool/2020/01/apology/,Apology video playlist,https://www.youtube.com/playlist?list=PLsuhXm2zs07IwijVL8Mkm4EnPab78F7TC,video,,,,,,
avengers,The Pudding Etc.,,,,,,,,,,
jordans-2,A Visual History of Every Air Jordan,https://pudding.cool/2018/09/jordans/,Get the poster,https://thepudding.threadless.com/designs/air-jordans-poster,shopping-cart,,,,,,
real-mvp,"The Worst, Highest-Paid NBA Player, Ever",https://pudding.cool/2019/12/real-mvp/,Watch the video,https://www.youtube.com/watch?v=lb9I_yRrsss,video,,,,,,
milk,The Pudding Etc.,,Full study,https://ora.ox.ac.uk/objects/uuid:b0b53649-5e93-4415-bf07-6b0b1227172f/download_file?file_format=pdf&safe_filename=Reducing_foods_environment_impacts_Science%2B360%2B6392%2B987%2B-%2BAccepted%2BManuscript.pdf&type_of_work=Journal+article,link,,,,,,
big-hair,The Big Data of Big Hair,https://pudding.cool/2019/11/big-hair/,Watch the video,https://www.youtube.com/watch?v=fzwrpAfMdKw,video,,,,,,
laughing,Laughing OnLine,https://pudding.cool/2019/10/laugh/,Get the data,https://github.com/the-pudding/data/tree/master/laugh,bar-chart,,,,,,
kim-foxx,The Kim Foxx Effect,https://pudding.cool/2019/10/prosecutors/,The Marshall Project,https://www.themarshallproject.org/,users,The Chicago Reporter,https://www.chicagoreporter.com/,users,,,
shelter-dogs,Where Do Adoptable Dogs in Your State Come From?,https://pudding.cool/2019/10/shelters/,Get the data,https://github.com/the-pudding/data/tree/master/dog-shelters,bar-chart,,,,,,
pubs,Ye Olde Mad-Lib Pub Crawl Generator,https://pudding.cool/2019/10/pubs/,,,,,,,,,
hiring-2,,,,,,,,,,,
ass,Is “Ass” the Most Complicated Word in English?,https://pudding.cool/2019/10/slang/,,,,,,,,,
millennials,The Millennial Question,https://pudding.cool/2019/09/millennials/,,,,,,,,,
congress-language,The Language of Congress,https://congress.pudding.cool/,,,,,,,,,
netflix,The Pudding Etc.,,,,,,,,,,
pockets-2,Women's Pockets are Inferior,https://pudding.cool/2018/08/pockets/,Get the data,https://github.com/the-pudding/data/tree/master/pockets,bar-chart,Get the poster,https://thepudding.threadless.com/designs/pockets-poster,shopping-cart,,,
falsetto,Are Men Singing Higher in Pop Music?,https://pudding.cool/2019/08/register/,Watch the Vox video,https://www.youtube.com/watch?v=qJT2h5uGAC0,video,Get the data,https://github.com/the-pudding/falsetto-story/tree/master/src/assets/data,bar-chart,,,
bachelor,The Pudding Etc.,,,,,,,,,,
hipster-reading,Hipster Summer Reading List 2019,https://pudding.cool/2019/06/summer-reading/,Get the data,https://github.com/the-pudding/data/tree/master/summer-reading,bar-chart,,,,,,
best-sellers-2,"Bias, She Wrote",https://pudding.cool/2017/06/best-sellers/,,,,,,,,,
book-covers,"Top-Selling Book Covers, Arranged by Visual Similarity",https://pudding.cool/2019/07/book-covers/,,,,,,,,,
uk-people-map,A People Map of the UK,https://pudding.cool/2019/06/people-map-uk/,US version,https://pudding.cool/2019/05/people-map/,link,Get the data,https://github.com/the-pudding/data/tree/master/people-map-uk,bar-chart,,,
hs-hype-2,How Many High School Stars Make It in the NBA?,https://pudding.cool/2019/03/hype/,NBA Redrafted,https://pudding.cool/2017/03/redraft/,link,,,,,,
science-etc-2,A Chronicle of the Anti-vaccination Movement,https://pudding.cool/2019/06/science_etc_2/,Part 1,https://pudding.cool/2019/05/science_etc_1/,link,,,,,,
gayborhood-2,"Men are from Chelsea, Women are from Park Slope",https://pudding.cool/2018/06/gayborhoods/,Get the data,https://github.com/the-pudding/data/tree/master/gayborhoods,bar-chart,,,,,,
sampling,How Robert Glasper Sampled Miles Davis on “Ghetto Walkin”,https://pudding.cool/2017/03/sampling/,,,,,,,,,
billboard-3,Best Year in Music,https://pudding.cool/projects/music-history/,,,,,,,,,
billboard-2,Best Year in Music,https://pudding.cool/projects/music-history/,,,,,,,,,
billboard-1,Best Year in Music,https://pudding.cool/projects/music-history/,,,,,,,,,
us-people-map,A People Map of the US,https://pudding.cool/2019/05/people-map/,UK version,https://pudding.cool/2019/06/people-map-uk/,link,Get the data,https://github.com/the-pudding/data/tree/master/people-map,bar-chart,,,
song-names,How Often Names are in Songs,https://pudding.cool/2019/05/names-in-songs/,Get the data,https://github.com/the-pudding/data/tree/master/names-in-songs,bar-chart,,,,,,
science-etc-1,How Much Data Lies Behind the Paper You're Reading?,https://pudding.cool/2019/05/science_etc_1/,Part 2,https://pudding.cool/2019/06/science_etc_2/,link,,,,,,
hyphens,The Rise of Hyphenated Last Names in Pro Sports,https://pudding.cool/2019/05/hyphens/,Get the data,https://github.com/the-pudding/hyphenated-names,bar-chart,,,,,,
three-seconds-2,The NBA Has a Defensive Three Seconds Problem,https://pudding.cool/2019/05/three-seconds/,Get the data,https://github.com/the-pudding/data/tree/master/three-seconds,bar-chart,,,,,,
three-seconds-1,The NBA Has a Defensive Three Seconds Problem,https://pudding.cool/2019/05/three-seconds/,Get the data,https://github.com/the-pudding/data/tree/master/three-seconds,bar-chart,,,,,,
makeup-shades-2,The Diversity of Makeup Shades,https://pudding.cool/2018/06/makeup-shades/,Get the data,https://github.com/the-pudding/data/tree/master/makeup-shades,bar-chart,,,,,,
vogue,Colorism in High Fashion,https://pudding.cool/2019/04/vogue/,Get the data,https://github.com/the-pudding/data/tree/master/vogue,bar-chart,,,,,,
eu,"Why Budapest, Warsaw, and Lithuania split themselves in two",https://pudding.cool/2019/04/eu-regions/,,,,,,,,,
text-prediction,How Algorithms Know What You’ll Type Next,https://pudding.cool/2019/04/text-prediction/,,,,,,,,,
womens-issues-3,Women's Issues Within Political Party Platforms,https://pudding.cool/projects/votes-for-women/,Watch the video,https://www.youtube.com/watch?v=-DXKDw8l0wY,video,Watch the Spanish video,https://www.youtube.com/watch?vq=hd1080p60&v=LExGIC9iaRA,video,,,
womens-issues-2,Women's Issues Within Political Party Platforms,https://pudding.cool/projects/votes-for-women/,Watch the video,https://www.youtube.com/watch?v=-DXKDw8l0wY,video,Watch the Spanish video,https://www.youtube.com/watch?vq=hd1080p60&v=LExGIC9iaRA,video,,,
womens-issues-1,Women's Issues Within Political Party Platforms,https://pudding.cool/projects/votes-for-women/,Watch the video,https://www.youtube.com/watch?v=-DXKDw8l0wY,video,Watch the Spanish video,https://www.youtube.com/watch?vq=hd1080p60&v=LExGIC9iaRA,video,,,
nba-spelling,NBA Spelling Bee,https://pudding.cool/2019/03/nba-spelling/,Celebrity spelling bee,https://pudding.cool/2019/02/gyllenhaal/,link,,,,,,
pop-star-3,Who is the Biggest Pop Star?,https://pudding.cool/2019/03/pop-music/,,,,,,,,,
pop-star-2,Who is the Biggest Pop Star?,https://pudding.cool/2019/03/pop-music/,,,,,,,,,
pop-star-1,Who is the Biggest Pop Star?,https://pudding.cool/2019/03/pop-music/,,,,,,,,,
screenplay,"The Largest Analysis of Film Dialogue by Gender, Ever",https://pudding.cool/2017/03/film-dialogue/,,,,,,,,,
hs-hype-1,How Many High School Stars Make It in the NBA?,https://pudding.cool/2019/03/hype/,Get the data,https://github.com/the-pudding/data/tree/master/hype,bar-chart,,,,,,
spelling-2,The Gyllenhaal Experiment,https://pudding.cool/2019/02/gyllenhaal/,NBA spelling bee,https://pudding.cool/2019/03/nba-spelling/,link,,,,,,
spelling-1,The Gyllenhaal Experiment,https://pudding.cool/2019/02/gyllenhaal/,NBA spelling bee,https://pudding.cool/2019/03/nba-spelling/,link,,,,,,
new-site,The Pudding,https://pudding.cool/,About us,https://pudding.cool/about/,info,FAQ,https://pudding.cool/faq/,info,,,
flags-2,The World through the Eyes of the US,https://pudding.cool/2018/12/countries/,Words in headlines,https://pudding.cool/2018/12/brief-history/,link,,,,,,
rapper-vocab,"Rappers, Sorted by the Size of their Vocabulary",https://pudding.cool/projects/vocabulary/,,,,,,,,,
flags-1,The World through the Eyes of the US,https://pudding.cool/2018/12/countries/,Words in headlines,https://pudding.cool/2018/12/brief-history/,link,,,,,,
history,A Brief History of the Past 100 Years,https://pudding.cool/2018/12/brief-history/,Countries in headlines,https://pudding.cool/2018/12/countries/,link,,,,,,
population-mountains,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,Human Terrian,https://pudding.cool/2018/10/city_3d/,link,Mega city airports,https://pudding.cool/2018/07/airports/,link,,,
pudding-cup-2019-2,The Pudding Cup 2019,https://pudding.cool/process/pudding-cup-2019/,2018 winners,https://pudding.cool/process/pudding-awards-2018/,link,2017 winners,https://pudding.cool/process/pudding-awards-2017/,link,,,
boy-bands,Internet Boy Band Database,https://pudding.cool/2018/11/boy-bands/,Spotify playlist,https://open.spotify.com/playlist/2OJ4Gw6NRcrHGgpQumI88i?si=KuzAc2wqRN2lotKrYoicXg,headphones,Get the poster,https://thepudding.threadless.com/designs/boy-bands-poster,shopping-cart,,,
dear-abby,30 Years of American Anxieties,https://pudding.cool/2018/11/dearabby/,Get the data,https://github.com/the-pudding/data/tree/master/dearabby,bar-chart,,,,,,
pudding-cup-2019-1,The Pudding Cup 2019,https://pudding.cool/process/pudding-cup-2019/,2018 winners,https://pudding.cool/process/pudding-awards-2018/,link,2017 winners,https://pudding.cool/process/pudding-awards-2017/,link,,,
titletowns,The Winningest Cities in North American Sports,https://pudding.cool/2018/11/titletowns/,Get the data,https://github.com/the-pudding/data/tree/master/titletowns,bar-chart,,,,,,
human-terrain,Human Terrain,https://pudding.cool/2018/10/city_3d/,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,link,Mega city airports,https://pudding.cool/2018/07/airports/,link,,,
fame,What Does the Path to Fame Look Like?,https://pudding.cool/2018/10/wiki-breakout/,Celebrity Billboard Project,https://pudding.cool/2018/09/wiki-billboard/,link,,,,,,
jordans-1,A Visual History of Every Air Jordan,https://pudding.cool/2018/09/jordans/,Get the poster,https://thepudding.threadless.com/designs/air-jordans-poster,shopping-cart,,,,,,
celebrity-billboard,The Celebrity Billboard Project,https://pudding.cool/2018/09/wiki-billboard/,Path to fame,https://pudding.cool/2018/10/wiki-breakout/,link,,,,,,
emo-rap,The Most Emo Lyrics: Emo Rap vs. Dashboard Confessional,https://pudding.cool/2018/08/emo-rap/,,,,,,,,,
film-digital,Film or Digital?,https://pudding.cool/2018/08/filmordigital/,Get the data,https://github.com/the-pudding/data/tree/master/filmordigital,bar-chart,,,,,,
pockets-1,Women's Pockets are Inferior,https://pudding.cool/2018/08/pockets/,Get the data,https://github.com/the-pudding/data/tree/master/pockets,bar-chart,Get the poster,https://thepudding.threadless.com/designs/pockets-poster,shopping-cart,,,
wiki-death,Life After Death on Wikipedia,https://pudding.cool/2018/08/wiki-death/,,,,,,,,,
automation-2,Tech Jobs may not Solve America’s Looming Automation Crisis,https://pudding.cool/2018/08/retraining/,,,,,,,,,
airports,What Airport Traffic Tells Us About the World's Megacities,https://pudding.cool/2018/07/airports/,Human Terrian,https://pudding.cool/2018/10/city_3d/,link,Population Mountains,https://pudding.cool/2018/12/3d-cities-story/,link,,,
gender-representation,The Road to Gender Parity in the House of Representatives,https://pudding.cool/2018/07/women-in-congress/,UK version,https://pudding.cool/2018/07/women-in-parliament/,link,,,,,,
birth-control,Let’s Talk About Birth Control,https://pudding.cool/2018/07/birth_control/,Get the data,https://github.com/the-pudding/data/tree/master/birth-control,bar-chart,,,,,,
gayborhood-1,"Men are from Chelsea, Women are from Park Slope",https://pudding.cool/2018/06/gayborhoods/,Get the data,https://github.com/the-pudding/data/tree/master/gayborhoods,bar-chart,,,,,,
makeup-shades-1,The Diversity of Makeup Shades,https://pudding.cool/2018/06/makeup-shades/,Get the data,https://github.com/the-pudding/data/tree/master/makeup-shades,bar-chart,,,,,,
nba-plays,The Most-Viewed NBA Plays in 2017-18,https://pudding.cool/2018/05/nba-top-plays/,,,,,,,,,
skate-music,"The Good, the Rad, and the Gnarly",https://pudding.cool/2018/06/skate-music/,Get a skateboard,https://thepudding.threadless.com/designs/skate,shopping-cart,Get the data,https://github.com/the-pudding/data/tree/master/skate-music,bar-chart,,,
song-sim,Are Hit Songs Becoming Less Musically Diverse?,https://pudding.cool/2018/05/similarity/,,,,,,,,,
cookies,Baking the Most Average Chocolate Chip Cookie,https://pudding.cool/2018/05/cookies/,Get the data,https://github.com/the-pudding/data/tree/master/cookies,bar-chart,,,,,,
one-hit-wonders,One-Hit Wonders in Sports,https://pudding.cool/2018/04/one-hit-wonders/,Get the data,https://github.com/the-pudding/data/tree/master/one-hit-wonders,bar-chart,,,,,,
birthday-paradox,The Birthday Paradox Experiment,https://pudding.cool/2018/04/birthday-paradox/,,,,,,,,,
two-cities,A Tale of Two Cities,https://pudding.cool/2018/03/neighborhoods/,Get the data,https://github.com/the-pudding/data/tree/master/neighborhoods,bar-chart,,,,,,
stand-up,The Structure of Stand-Up Comedy,https://pudding.cool/2018/02/stand-up/,Get the data,https://github.com/the-pudding/data/tree/master/stand-up,bar-chart,,,,,,
waveforms,Let's Learn About Waveforms,https://pudding.cool/2018/02/waveforms/,,,,,,,,,
food-map,Mapping Gastronomic Borders in the US,https://pudding.cool/2018/02/restaurants/,,,,,,,,,
mars-weather,Greetings from Mars,https://pudding.cool/2018/01/mars-weather/,Get the data,https://github.com/the-pudding/data/tree/master/mars-weather,bar-chart,,,,,,
chyrons,"How CNN, MSNBC, and FOX Cover the News",https://pudding.cool/2018/01/chyrons/,,,,,,,,,
music-map,The Cultural Borders of Songs,https://pudding.cool/2018/06/music-map/,,,,,,,,,
hiring-1,,,,,,,,,,,
hater,10 Things Everyone Hates About You,https://pudding.cool/2017/12/hater/,,,,,,,,,
pudding-awards,The Pudding Awards 2017,https://pudding.cool/process/pudding-awards-2017/,,,,,,,,,
newspapers,Newspapers: A Black & White Issue,https://pudding.cool/2017/10/asne/,,,,,,,,,
super-teams,What is a Superteam in the NBA?,https://pudding.cool/2017/10/superteams/,,,,,,,,,
gender-radio,Listen to Her: Gender on This American Life,https://pudding.cool/2017/09/this-american-life/,,,,,,,,,
hip-hop-words,The Words That Are “Most Hip Hop”,https://pudding.cool/2017/09/hip-hop-words/,,,,,,,,,
clinics,An Analysis of Driving Times to Abortion Clinics in the US,https://pudding.cool/2017/09/clinics/,Get the data,https://github.com/the-pudding/data/tree/master/clinics,bar-chart,,,,,,
gender-film,"She Giggles, He Gallops",https://pudding.cool/2017/08/screen-direction/,,,,,,,,,
office,‘The Office’ Dialogue in Five Charts,https://pudding.cool/2017/08/the-office/,,,,,,,,,
billboard-X,,,,,,,,,,,
dining-alone,The Dining Habits and Companions of Americans,https://pudding.cool/2017/07/eating-alone/,,,,,,,,,
comics,"Gender Representation of 34,476 Comic Book Characters",https://pudding.cool/2017/07/comics/,,,,,,,,,
automation-1,Why the Republican Party Wins When Robots Take Your Job,https://pudding.cool/2017/07/jobs/,,,,,,,,,
cetaceans,Free Willy and Flipper by the Numbers,https://pudding.cool/2017/07/cetaceans/,Get the data,https://github.com/the-pudding/data/tree/master/cetaceans,bar-chart,,,,,,
film-plots,Plot Trends for Top-Grossing Film from the Past 50 Years,https://pudding.cool/2017/06/film-trends/,,,,,,,,,
punk,Crowdsourcing the Definition of “Punk”,https://pudding.cool/2017/03/punk/,,,,,,,,,
best-sellers-1,"Bias, She Wrote",https://pudding.cool/2017/06/best-sellers/,,,,,,,,,
baby-making,The Timing of Baby Making,https://pudding.cool/2017/05/births/,Get the data,https://github.com/the-pudding/data/tree/master/births,bar-chart,,,,,,
pop-lyrics,Are Pop Lyrics Getting More Repetitive?,https://pudding.cool/2017/05/song-repetition/,,,,,,,,,
timeless-nba,The Most Timeless NBA Plays,https://pudding.cool/2017/05/nba-moments/,,,,,,,,,
craft-beer,What City is the Microbrew Capital of the US?,https://pudding.cool/2017/04/beer/,Weighted scatter plot,https://pudding.cool/process/weighted-pivot-scatter-plot/,link,,,,,,
incarceration,Why Does the US Lead the World in Incarceration?,https://pudding.cool/2017/03/incarceration/,,,,,,,,,
home-team,Do NBA Refs Favor the Home Team?,https://pudding.cool/2017/03/home-court/,,,,,,,,,
oscar-map,The Geographic Divide of Oscars Films,https://pudding.cool/2017/02/oscars_so_mapped/,Regional smoothing in R,https://pudding.cool/process/regional_smoothing/,link,,,,,,
nba-two-minute,NBA Last Two Minute Report,https://pudding.cool/2017/02/two-minute-report/,Get the data,https://raw.githubusercontent.com/polygraph-cool/last-two-minute-report/master/output/all_games.csv,bar-chart,,,,,,
slang,"The Emergence Of Slang, Using Search Data",https://pudding.cool/2017/02/new-slang/,,,,,,,,,
slavery,Mapping Slavery Against US Incarceration,https://pudding.cool/2017/01/shape-of-slavery/,,,,,,,,,
making-it,The Unlikely Odds of Making it Big,https://pudding.cool/2017/01/making-it-big/,,,,,,,,,